Border,Date,Measure,Value,Average
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,81462,113744
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,52520,36504
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,34119,36504
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,28990,67522
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,23785,1941261
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,19293,16896
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,15839,10722
US-Canada Border,12/01/2011 12:00:00 AM,Buses,7156,16896
US-Canada Border,12/01/2011 12:00:00 AM,Trains,2314,1628
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,699,1628
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,10722
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,10335188,10192539
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,5498251,4784579
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,4286994,10192539
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,3788938,1964344
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,2285607,4784579
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,402423,455202
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,376557,455202
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,302171,333386
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,272182,288953
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,249346,333386
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,140795,288953
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,124954,113863
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,99136,67488
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,83795,113863
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,49209,35876
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,29946,35876
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,27116,67488
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,19063,17210
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,18678,1964344
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,12641,10648
US-Canada Border,12/01/2010 12:00:00 AM,Buses,7109,17210
US-Canada Border,12/01/2010 12:00:00 AM,Trains,2118,1644
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,1644
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,224,10648
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,12599702,10440353
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,5969740,4874431
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,10440353
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,3708066,1992947
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,4874431
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,458310
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,360126,458310
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,336102
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,234058,336102
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,217595,296560
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,296560
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,124446,114098
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,67931
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,114098
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,35419
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,29556,35419
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,23390,67931
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,20151,17528
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,1992947
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,10629
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,17528
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,1668
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,604,1668
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,302,10629
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,10697535
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,4964600
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,2020509
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,10697535
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,4964600
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,466280
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,466280
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,342995
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,306395
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,342995
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,306395
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,114766
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,69646
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,114766
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,35339
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,35339
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,69646
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,17867
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,2020509
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,10805
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,17867
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,1707
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,10805
