Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2008 12:00:00 AM,Rail Containers Empty,37593,34557
US-Mexico Border,03/01/2008 12:00:00 AM,Rail Containers Full,29397,69578
US-Canada Border,03/01/2008 12:00:00 AM,Pedestrians,23532,2033936
US-Mexico Border,03/01/2008 12:00:00 AM,Buses,23070,17948
US-Canada Border,03/01/2008 12:00:00 AM,Train Passengers,12583,10651
US-Canada Border,03/01/2008 12:00:00 AM,Buses,8946,17948
US-Canada Border,03/01/2008 12:00:00 AM,Trains,2597,1705
US-Mexico Border,03/01/2008 12:00:00 AM,Train Passengers,1545,10651
US-Mexico Border,03/01/2008 12:00:00 AM,Trains,872,1705
US-Mexico Border,03/01/2007 12:00:00 AM,Personal Vehicle Passengers,14669731,11044138
US-Mexico Border,03/01/2007 12:00:00 AM,Personal Vehicles,7282381,5051556
US-Canada Border,03/01/2007 12:00:00 AM,Personal Vehicle Passengers,4287711,11044138
US-Mexico Border,03/01/2007 12:00:00 AM,Pedestrians,4133135,2025898
US-Canada Border,03/01/2007 12:00:00 AM,Personal Vehicles,2229742,5051556
US-Canada Border,03/01/2007 12:00:00 AM,Trucks,587330,466267
US-Canada Border,03/01/2007 12:00:00 AM,Truck Containers Full,485451,343754
US-Mexico Border,03/01/2007 12:00:00 AM,Trucks,437841,466267
US-Mexico Border,03/01/2007 12:00:00 AM,Truck Containers Full,278342,343754
US-Mexico Border,03/01/2007 12:00:00 AM,Bus Passengers,272215,307547
US-Canada Border,03/01/2007 12:00:00 AM,Bus Passengers,230391,307547
US-Mexico Border,03/01/2007 12:00:00 AM,Truck Containers Empty,150614,113149
US-Canada Border,03/01/2007 12:00:00 AM,Rail Containers Full,126081,69093
US-Canada Border,03/01/2007 12:00:00 AM,Truck Containers Empty,88717,113149
US-Canada Border,03/01/2007 12:00:00 AM,Rail Containers Empty,46108,33480
US-Mexico Border,03/01/2007 12:00:00 AM,Rail Containers Empty,38760,33480
US-Mexico Border,03/01/2007 12:00:00 AM,Rail Containers Full,32320,69093
US-Canada Border,03/01/2007 12:00:00 AM,Pedestrians,23973,2025898
US-Mexico Border,03/01/2007 12:00:00 AM,Buses,21880,18103
US-Canada Border,03/01/2007 12:00:00 AM,Train Passengers,10109,10639
US-Canada Border,03/01/2007 12:00:00 AM,Buses,8927,18103
US-Canada Border,03/01/2007 12:00:00 AM,Trains,2619,1704
US-Mexico Border,03/01/2007 12:00:00 AM,Train Passengers,1817,10639
US-Mexico Border,03/01/2007 12:00:00 AM,Trains,951,1704
US-Mexico Border,03/01/2006 12:00:00 AM,Personal Vehicle Passengers,15811178,11224932
US-Mexico Border,03/01/2006 12:00:00 AM,Personal Vehicles,7876937,5079698
US-Canada Border,03/01/2006 12:00:00 AM,Personal Vehicle Passengers,4854042,11224932
US-Mexico Border,03/01/2006 12:00:00 AM,Pedestrians,3889843,2034309
US-Canada Border,03/01/2006 12:00:00 AM,Personal Vehicles,2340385,5079698
US-Canada Border,03/01/2006 12:00:00 AM,Trucks,600750,465014
US-Canada Border,03/01/2006 12:00:00 AM,Truck Containers Full,530942,341350
US-Mexico Border,03/01/2006 12:00:00 AM,Trucks,428671,465014
US-Mexico Border,03/01/2006 12:00:00 AM,Bus Passengers,284313,312917
US-Mexico Border,03/01/2006 12:00:00 AM,Truck Containers Full,283122,341350
US-Canada Border,03/01/2006 12:00:00 AM,Bus Passengers,241209,312917
US-Mexico Border,03/01/2006 12:00:00 AM,Truck Containers Empty,143420,113236
US-Canada Border,03/01/2006 12:00:00 AM,Rail Containers Full,130854,68419
US-Canada Border,03/01/2006 12:00:00 AM,Truck Containers Empty,90922,113236
US-Canada Border,03/01/2006 12:00:00 AM,Rail Containers Empty,44368,32568
US-Mexico Border,03/01/2006 12:00:00 AM,Rail Containers Empty,35841,32568
US-Mexico Border,03/01/2006 12:00:00 AM,Rail Containers Full,34678,68419
US-Canada Border,03/01/2006 12:00:00 AM,Pedestrians,26385,2034309
US-Mexico Border,03/01/2006 12:00:00 AM,Buses,22077,18389
US-Canada Border,03/01/2006 12:00:00 AM,Train Passengers,12460,10596
US-Canada Border,03/01/2006 12:00:00 AM,Buses,9202,18389
US-Canada Border,03/01/2006 12:00:00 AM,Trains,2812,1695
US-Mexico Border,03/01/2006 12:00:00 AM,Train Passengers,1921,10596
US-Mexico Border,03/01/2006 12:00:00 AM,Trains,886,1695
US-Mexico Border,03/01/2005 12:00:00 AM,Personal Vehicle Passengers,16467485,11388444
US-Mexico Border,03/01/2005 12:00:00 AM,Personal Vehicles,7931685,5080963
US-Canada Border,03/01/2005 12:00:00 AM,Personal Vehicle Passengers,4753856,11388444
US-Mexico Border,03/01/2005 12:00:00 AM,Pedestrians,4527151,2057397
US-Canada Border,03/01/2005 12:00:00 AM,Personal Vehicles,2336282,5080963
US-Canada Border,03/01/2005 12:00:00 AM,Trucks,591197,462205
US-Canada Border,03/01/2005 12:00:00 AM,Truck Containers Full,495892,335528
US-Mexico Border,03/01/2005 12:00:00 AM,Trucks,397724,462205
US-Mexico Border,03/01/2005 12:00:00 AM,Bus Passengers,325525,316453
US-Mexico Border,03/01/2005 12:00:00 AM,Truck Containers Full,255704,335528
US-Canada Border,03/01/2005 12:00:00 AM,Bus Passengers,238103,316453
US-Mexico Border,03/01/2005 12:00:00 AM,Truck Containers Empty,138427,114090
US-Canada Border,03/01/2005 12:00:00 AM,Rail Containers Full,131631,67162
US-Canada Border,03/01/2005 12:00:00 AM,Truck Containers Empty,83435,114090
US-Canada Border,03/01/2005 12:00:00 AM,Rail Containers Empty,39818,31792
US-Mexico Border,03/01/2005 12:00:00 AM,Rail Containers Empty,33093,31792
US-Canada Border,03/01/2005 12:00:00 AM,Pedestrians,28760,2057397
US-Mexico Border,03/01/2005 12:00:00 AM,Rail Containers Full,28642,67162
US-Mexico Border,03/01/2005 12:00:00 AM,Buses,23260,18634
US-Canada Border,03/01/2005 12:00:00 AM,Train Passengers,13025,10592
US-Canada Border,03/01/2005 12:00:00 AM,Buses,9705,18634
US-Canada Border,03/01/2005 12:00:00 AM,Trains,2724,1680
US-Mexico Border,03/01/2005 12:00:00 AM,Train Passengers,1564,10592
US-Mexico Border,03/01/2005 12:00:00 AM,Trains,762,1680
US-Mexico Border,03/01/2004 12:00:00 AM,Personal Vehicle Passengers,16218883,11578346
US-Mexico Border,03/01/2004 12:00:00 AM,Personal Vehicles,7891407,5082042
US-Canada Border,03/01/2004 12:00:00 AM,Personal Vehicle Passengers,4742473,11578346
US-Mexico Border,03/01/2004 12:00:00 AM,Pedestrians,4464192,2066714
US-Canada Border,03/01/2004 12:00:00 AM,Personal Vehicles,2307106,5082042
US-Canada Border,03/01/2004 12:00:00 AM,Trucks,628185,459005
US-Canada Border,03/01/2004 12:00:00 AM,Truck Containers Full,524750,329369
US-Mexico Border,03/01/2004 12:00:00 AM,Trucks,421153,459005
US-Mexico Border,03/01/2004 12:00:00 AM,Bus Passengers,295450,320647
US-Canada Border,03/01/2004 12:00:00 AM,Bus Passengers,277226,320647
US-Mexico Border,03/01/2004 12:00:00 AM,Truck Containers Full,268100,329369
US-Mexico Border,03/01/2004 12:00:00 AM,Truck Containers Empty,151427,115259
US-Canada Border,03/01/2004 12:00:00 AM,Rail Containers Full,131300,65237
US-Canada Border,03/01/2004 12:00:00 AM,Truck Containers Empty,88166,115259
US-Canada Border,03/01/2004 12:00:00 AM,Rail Containers Empty,42036,30956
US-Mexico Border,03/01/2004 12:00:00 AM,Rail Containers Empty,32108,30956
US-Canada Border,03/01/2004 12:00:00 AM,Pedestrians,29349,2066714
US-Mexico Border,03/01/2004 12:00:00 AM,Rail Containers Full,25403,65237
US-Mexico Border,03/01/2004 12:00:00 AM,Buses,22994,18933
US-Canada Border,03/01/2004 12:00:00 AM,Train Passengers,14636,10808
US-Canada Border,03/01/2004 12:00:00 AM,Buses,11687,18933
US-Canada Border,03/01/2004 12:00:00 AM,Trains,3037,1674
US-Mexico Border,03/01/2004 12:00:00 AM,Train Passengers,1160,10808
US-Mexico Border,03/01/2004 12:00:00 AM,Trains,690,1674
US-Mexico Border,03/01/2003 12:00:00 AM,Personal Vehicle Passengers,16105595,11855735
US-Mexico Border,03/01/2003 12:00:00 AM,Personal Vehicles,7374919,5123016
US-Canada Border,03/01/2003 12:00:00 AM,Personal Vehicle Passengers,4677494,11855735
US-Mexico Border,03/01/2003 12:00:00 AM,Pedestrians,4415167,2069894
US-Canada Border,03/01/2003 12:00:00 AM,Personal Vehicles,2241652,5123016
US-Canada Border,03/01/2003 12:00:00 AM,Trucks,584957,460207
US-Canada Border,03/01/2003 12:00:00 AM,Truck Containers Full,490917,325102
US-Mexico Border,03/01/2003 12:00:00 AM,Trucks,368711,460207
US-Mexico Border,03/01/2003 12:00:00 AM,Bus Passengers,315608,324078
US-Canada Border,03/01/2003 12:00:00 AM,Bus Passengers,270472,324078
US-Mexico Border,03/01/2003 12:00:00 AM,Truck Containers Full,229088,325102
US-Mexico Border,03/01/2003 12:00:00 AM,Truck Containers Empty,143756,117417
US-Canada Border,03/01/2003 12:00:00 AM,Rail Containers Full,122768,64023
US-Canada Border,03/01/2003 12:00:00 AM,Truck Containers Empty,83940,117417
US-Canada Border,03/01/2003 12:00:00 AM,Rail Containers Empty,39258,30148
US-Canada Border,03/01/2003 12:00:00 AM,Pedestrians,37417,2069894
US-Mexico Border,03/01/2003 12:00:00 AM,Rail Containers Empty,28531,30148
US-Mexico Border,03/01/2003 12:00:00 AM,Buses,25251,18718
US-Mexico Border,03/01/2003 12:00:00 AM,Rail Containers Full,24245,64023
US-Canada Border,03/01/2003 12:00:00 AM,Train Passengers,15640,10994
US-Canada Border,03/01/2003 12:00:00 AM,Buses,11325,18718
US-Canada Border,03/01/2003 12:00:00 AM,Trains,2783,1650
US-Mexico Border,03/01/2003 12:00:00 AM,Train Passengers,1050,10994
US-Mexico Border,03/01/2003 12:00:00 AM,Trains,618,1650
US-Mexico Border,03/01/2002 12:00:00 AM,Personal Vehicle Passengers,16891772,12169474
US-Mexico Border,03/01/2002 12:00:00 AM,Personal Vehicles,7549029,5131298
US-Canada Border,03/01/2002 12:00:00 AM,Personal Vehicle Passengers,5377216,12169474
US-Mexico Border,03/01/2002 12:00:00 AM,Pedestrians,4487679,2031969
US-Canada Border,03/01/2002 12:00:00 AM,Personal Vehicles,2487140,5131298
US-Canada Border,03/01/2002 12:00:00 AM,Trucks,568295,454450
US-Canada Border,03/01/2002 12:00:00 AM,Truck Containers Full,478046,314191
US-Mexico Border,03/01/2002 12:00:00 AM,Trucks,378634,454450
US-Mexico Border,03/01/2002 12:00:00 AM,Bus Passengers,371230,314597
US-Canada Border,03/01/2002 12:00:00 AM,Bus Passengers,260412,314597
US-Mexico Border,03/01/2002 12:00:00 AM,Truck Containers Full,215011,314191
US-Mexico Border,03/01/2002 12:00:00 AM,Truck Containers Empty,163988,116141
US-Canada Border,03/01/2002 12:00:00 AM,Rail Containers Full,124671,61487
US-Canada Border,03/01/2002 12:00:00 AM,Truck Containers Empty,85994,116141
US-Canada Border,03/01/2002 12:00:00 AM,Pedestrians,36395,2031969
US-Canada Border,03/01/2002 12:00:00 AM,Rail Containers Empty,36373,29104
US-Mexico Border,03/01/2002 12:00:00 AM,Rail Containers Empty,30957,29104
US-Mexico Border,03/01/2002 12:00:00 AM,Buses,25760,18292
US-Mexico Border,03/01/2002 12:00:00 AM,Rail Containers Full,23691,61487
US-Canada Border,03/01/2002 12:00:00 AM,Train Passengers,16788,10883
US-Canada Border,03/01/2002 12:00:00 AM,Buses,10375,18292
US-Canada Border,03/01/2002 12:00:00 AM,Trains,2786,1633
US-Mexico Border,03/01/2002 12:00:00 AM,Train Passengers,1696,10883
US-Mexico Border,03/01/2002 12:00:00 AM,Trains,646,1633
US-Mexico Border,03/01/2001 12:00:00 AM,Personal Vehicle Passengers,20926836,12725848
US-Mexico Border,03/01/2001 12:00:00 AM,Personal Vehicles,8242638,5161841
US-Canada Border,03/01/2001 12:00:00 AM,Personal Vehicle Passengers,6286079,12725848
US-Mexico Border,03/01/2001 12:00:00 AM,Pedestrians,4999418,1949047
US-Canada Border,03/01/2001 12:00:00 AM,Personal Vehicles,2787843,5161841
US-Canada Border,03/01/2001 12:00:00 AM,Trucks,596446,449331
US-Canada Border,03/01/2001 12:00:00 AM,Truck Containers Full,475691,300163
US-Mexico Border,03/01/2001 12:00:00 AM,Trucks,388393,449331
US-Canada Border,03/01/2001 12:00:00 AM,Bus Passengers,327366,306908
US-Mexico Border,03/01/2001 12:00:00 AM,Bus Passengers,288306,306908
US-Mexico Border,03/01/2001 12:00:00 AM,Truck Containers Full,223127,300163
US-Mexico Border,03/01/2001 12:00:00 AM,Truck Containers Empty,163252,110801
US-Canada Border,03/01/2001 12:00:00 AM,Rail Containers Full,122179,57779
US-Canada Border,03/01/2001 12:00:00 AM,Truck Containers Empty,88530,110801
US-Canada Border,03/01/2001 12:00:00 AM,Rail Containers Empty,40398,26931
US-Canada Border,03/01/2001 12:00:00 AM,Pedestrians,31446,1949047
US-Mexico Border,03/01/2001 12:00:00 AM,Rail Containers Empty,27775,26931
US-Mexico Border,03/01/2001 12:00:00 AM,Rail Containers Full,24924,57779
US-Mexico Border,03/01/2001 12:00:00 AM,Buses,24861,17762
US-Canada Border,03/01/2001 12:00:00 AM,Train Passengers,17558,10563
US-Canada Border,03/01/2001 12:00:00 AM,Buses,12486,17762
US-Canada Border,03/01/2001 12:00:00 AM,Trains,2911,1579
US-Mexico Border,03/01/2001 12:00:00 AM,Train Passengers,1672,10563
US-Mexico Border,03/01/2001 12:00:00 AM,Trains,638,1579
US-Mexico Border,03/01/2000 12:00:00 AM,Personal Vehicle Passengers,20547659,9695261
US-Mexico Border,03/01/2000 12:00:00 AM,Personal Vehicles,7790867,4362976
US-Canada Border,03/01/2000 12:00:00 AM,Personal Vehicle Passengers,7000236,9695261
US-Mexico Border,03/01/2000 12:00:00 AM,Pedestrians,4198321,1730822
US-Canada Border,03/01/2000 12:00:00 AM,Personal Vehicles,2859058,4362976
US-Canada Border,03/01/2000 12:00:00 AM,Trucks,636750,357766
US-Canada Border,03/01/2000 12:00:00 AM,Truck Containers Full,493122,227826
US-Mexico Border,03/01/2000 12:00:00 AM,Trucks,414412,357766
US-Canada Border,03/01/2000 12:00:00 AM,Bus Passengers,282823,172088
US-Mexico Border,03/01/2000 12:00:00 AM,Bus Passengers,238832,172088
US-Mexico Border,03/01/2000 12:00:00 AM,Truck Containers Full,215960,227826
US-Mexico Border,03/01/2000 12:00:00 AM,Truck Containers Empty,160582,94115
US-Canada Border,03/01/2000 12:00:00 AM,Rail Containers Full,109171,44758
US-Canada Border,03/01/2000 12:00:00 AM,Truck Containers Empty,82311,94115
US-Canada Border,03/01/2000 12:00:00 AM,Rail Containers Empty,34851,22039
US-Mexico Border,03/01/2000 12:00:00 AM,Rail Containers Empty,27282,22039
US-Canada Border,03/01/2000 12:00:00 AM,Pedestrians,26551,1730822
US-Mexico Border,03/01/2000 12:00:00 AM,Rail Containers Full,24006,44758
US-Mexico Border,03/01/2000 12:00:00 AM,Buses,21760,12758
US-Canada Border,03/01/2000 12:00:00 AM,Train Passengers,17383,6240
US-Canada Border,03/01/2000 12:00:00 AM,Buses,12044,12758
US-Canada Border,03/01/2000 12:00:00 AM,Trains,2973,1202
US-Mexico Border,03/01/2000 12:00:00 AM,Train Passengers,1222,6240
US-Mexico Border,03/01/2000 12:00:00 AM,Trains,580,1202
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,9159160
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,4526894
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,1881970
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,9159160
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,4526894
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,461163
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,461163
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,336984
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,336984
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,119374
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,247354
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,74659
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,119374
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,247354
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,41675
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,41675
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,74659
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,1881970
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,15066
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,11216
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,15066
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,1607
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,1607
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,11216
US-Mexico Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,10888482,9213831
US-Mexico Border,02/01/2018 12:00:00 AM,Personal Vehicles,5903899,4538413
US-Mexico Border,02/01/2018 12:00:00 AM,Pedestrians,3526195,1878187
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,3022028,9213831
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicles,1666594,4538413
US-Mexico Border,02/01/2018 12:00:00 AM,Trucks,491399,458664
US-Canada Border,02/01/2018 12:00:00 AM,Trucks,448194,458664
US-Mexico Border,02/01/2018 12:00:00 AM,Truck Containers Full,351568,335118
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Full,326173,335118
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Full,136507,73398
US-Mexico Border,02/01/2018 12:00:00 AM,Truck Containers Empty,136474,118119
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Empty,131612,118119
US-Mexico Border,02/01/2018 12:00:00 AM,Bus Passengers,106763,252534
US-Canada Border,02/01/2018 12:00:00 AM,Bus Passengers,85214,252534
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Empty,57667,40880
US-Mexico Border,02/01/2018 12:00:00 AM,Rail Containers Empty,41810,40880
US-Mexico Border,02/01/2018 12:00:00 AM,Rail Containers Full,39167,73398
US-Canada Border,02/01/2018 12:00:00 AM,Pedestrians,12936,1878187
US-Mexico Border,02/01/2018 12:00:00 AM,Buses,11504,15341
US-Canada Border,02/01/2018 12:00:00 AM,Train Passengers,8544,11141
US-Canada Border,02/01/2018 12:00:00 AM,Buses,4294,15341
US-Canada Border,02/01/2018 12:00:00 AM,Trains,1712,1615
US-Mexico Border,02/01/2018 12:00:00 AM,Trains,827,1615
US-Mexico Border,02/01/2018 12:00:00 AM,Train Passengers,688,11141
US-Mexico Border,02/01/2017 12:00:00 AM,Personal Vehicle Passengers,10320154,9278925
US-Mexico Border,02/01/2017 12:00:00 AM,Personal Vehicles,5699768,4550551
US-Mexico Border,02/01/2017 12:00:00 AM,Pedestrians,3155207,1882363
US-Canada Border,02/01/2017 12:00:00 AM,Personal Vehicle Passengers,2878409,9278925
US-Canada Border,02/01/2017 12:00:00 AM,Personal Vehicles,1664326,4550551
US-Mexico Border,02/01/2017 12:00:00 AM,Trucks,469120,456479
US-Canada Border,02/01/2017 12:00:00 AM,Trucks,453800,456479
US-Mexico Border,02/01/2017 12:00:00 AM,Truck Containers Full,329258,332700
US-Canada Border,02/01/2017 12:00:00 AM,Truck Containers Full,325352,332700
US-Mexico Border,02/01/2017 12:00:00 AM,Truck Containers Empty,142165,115928
US-Canada Border,02/01/2017 12:00:00 AM,Truck Containers Empty,137539,115928
US-Canada Border,02/01/2017 12:00:00 AM,Rail Containers Full,133782,72286
US-Mexico Border,02/01/2017 12:00:00 AM,Bus Passengers,106487,258477
US-Canada Border,02/01/2017 12:00:00 AM,Bus Passengers,88227,258477
US-Canada Border,02/01/2017 12:00:00 AM,Rail Containers Empty,57223,40056
US-Mexico Border,02/01/2017 12:00:00 AM,Rail Containers Empty,39107,40056
US-Mexico Border,02/01/2017 12:00:00 AM,Rail Containers Full,38475,72286
US-Canada Border,02/01/2017 12:00:00 AM,Pedestrians,12616,1882363
US-Mexico Border,02/01/2017 12:00:00 AM,Buses,12026,15614
US-Canada Border,02/01/2017 12:00:00 AM,Train Passengers,10640,11081
US-Canada Border,02/01/2017 12:00:00 AM,Buses,4592,15614
US-Canada Border,02/01/2017 12:00:00 AM,Trains,1744,1626
US-Mexico Border,02/01/2017 12:00:00 AM,Trains,840,1626
US-Mexico Border,02/01/2017 12:00:00 AM,Train Passengers,821,11081
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,10714957,9361397
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicles,5926084,4566702
US-Mexico Border,02/01/2016 12:00:00 AM,Pedestrians,3361237,1888673
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,2814649,9361397
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicles,1664473,4566702
US-Canada Border,02/01/2016 12:00:00 AM,Trucks,476753,454486
US-Mexico Border,02/01/2016 12:00:00 AM,Trucks,468416,454486
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Full,401214,330630
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Full,330901,330630
US-Mexico Border,02/01/2016 12:00:00 AM,Bus Passengers,149311,263803
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Empty,133565,115513
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Full,131342,71409
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Empty,100057,115513
US-Canada Border,02/01/2016 12:00:00 AM,Bus Passengers,97397,263803
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Empty,50203,39618
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Full,41405,71409
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Empty,37174,39618
US-Mexico Border,02/01/2016 12:00:00 AM,Buses,13636,15898
US-Canada Border,02/01/2016 12:00:00 AM,Pedestrians,12084,1888673
US-Canada Border,02/01/2016 12:00:00 AM,Train Passengers,11837,10986
US-Canada Border,02/01/2016 12:00:00 AM,Buses,5156,15898
US-Canada Border,02/01/2016 12:00:00 AM,Trains,2320,1626
US-Mexico Border,02/01/2016 12:00:00 AM,Train Passengers,916,10986
US-Mexico Border,02/01/2016 12:00:00 AM,Trains,831,1626
US-Mexico Border,02/01/2015 12:00:00 AM,Personal Vehicle Passengers,10020758,9456821
US-Mexico Border,02/01/2015 12:00:00 AM,Personal Vehicles,5609958,4585500
US-Mexico Border,02/01/2015 12:00:00 AM,Pedestrians,3207302,1898770
US-Canada Border,02/01/2015 12:00:00 AM,Personal Vehicle Passengers,3094499,9456821
US-Canada Border,02/01/2015 12:00:00 AM,Personal Vehicles,1804273,4585500
US-Canada Border,02/01/2015 12:00:00 AM,Trucks,440692,453338
US-Mexico Border,02/01/2015 12:00:00 AM,Trucks,434241,453338
US-Canada Border,02/01/2015 12:00:00 AM,Truck Containers Full,314743,328917
US-Mexico Border,02/01/2015 12:00:00 AM,Truck Containers Full,308734,328917
US-Mexico Border,02/01/2015 12:00:00 AM,Bus Passengers,158251,268588
US-Mexico Border,02/01/2015 12:00:00 AM,Truck Containers Empty,123725,115238
US-Canada Border,02/01/2015 12:00:00 AM,Rail Containers Full,122992,70369
US-Canada Border,02/01/2015 12:00:00 AM,Bus Passengers,106349,268588
US-Canada Border,02/01/2015 12:00:00 AM,Truck Containers Empty,101442,115238
US-Canada Border,02/01/2015 12:00:00 AM,Rail Containers Empty,57483,39015
US-Mexico Border,02/01/2015 12:00:00 AM,Rail Containers Full,36563,70369
US-Mexico Border,02/01/2015 12:00:00 AM,Rail Containers Empty,35111,39015
US-Mexico Border,02/01/2015 12:00:00 AM,Buses,13742,16126
US-Canada Border,02/01/2015 12:00:00 AM,Train Passengers,11916,10898
US-Canada Border,02/01/2015 12:00:00 AM,Pedestrians,11390,1898770
US-Canada Border,02/01/2015 12:00:00 AM,Buses,6131,16126
US-Canada Border,02/01/2015 12:00:00 AM,Trains,2354,1621
US-Mexico Border,02/01/2015 12:00:00 AM,Train Passengers,786,10898
US-Mexico Border,02/01/2015 12:00:00 AM,Trains,778,1621
US-Mexico Border,02/01/2014 12:00:00 AM,Personal Vehicle Passengers,9302310,9566353
US-Mexico Border,02/01/2014 12:00:00 AM,Personal Vehicles,5122080,4609402
US-Canada Border,02/01/2014 12:00:00 AM,Personal Vehicle Passengers,3514880,9566353
US-Mexico Border,02/01/2014 12:00:00 AM,Pedestrians,3227472,1910916
US-Canada Border,02/01/2014 12:00:00 AM,Personal Vehicles,1946939,4609402
US-Canada Border,02/01/2014 12:00:00 AM,Trucks,444749,452324
US-Mexico Border,02/01/2014 12:00:00 AM,Trucks,422277,452324
US-Canada Border,02/01/2014 12:00:00 AM,Truck Containers Full,332464,328413
US-Mexico Border,02/01/2014 12:00:00 AM,Truck Containers Full,302225,328413
US-Mexico Border,02/01/2014 12:00:00 AM,Bus Passengers,161349,272775
US-Mexico Border,02/01/2014 12:00:00 AM,Truck Containers Empty,122777,114822
US-Canada Border,02/01/2014 12:00:00 AM,Rail Containers Full,117762,69265
US-Canada Border,02/01/2014 12:00:00 AM,Bus Passengers,111190,272775
US-Canada Border,02/01/2014 12:00:00 AM,Truck Containers Empty,108834,114822
US-Canada Border,02/01/2014 12:00:00 AM,Rail Containers Empty,52968,38175
US-Mexico Border,02/01/2014 12:00:00 AM,Rail Containers Full,36238,69265
US-Mexico Border,02/01/2014 12:00:00 AM,Rail Containers Empty,32305,38175
US-Mexico Border,02/01/2014 12:00:00 AM,Buses,14414,16333
US-Canada Border,02/01/2014 12:00:00 AM,Pedestrians,11364,1910916
US-Canada Border,02/01/2014 12:00:00 AM,Train Passengers,11266,10805
US-Canada Border,02/01/2014 12:00:00 AM,Buses,5919,16333
US-Canada Border,02/01/2014 12:00:00 AM,Trains,2103,1621
US-Mexico Border,02/01/2014 12:00:00 AM,Trains,720,1621
US-Mexico Border,02/01/2014 12:00:00 AM,Train Passengers,703,10805
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,8767637,9706665
US-Mexico Border,02/01/2013 12:00:00 AM,Personal Vehicles,4958117,4643060
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicle Passengers,3836360,9706665
US-Mexico Border,02/01/2013 12:00:00 AM,Pedestrians,3249782,1923540
US-Canada Border,02/01/2013 12:00:00 AM,Personal Vehicles,2146613,4643060
US-Canada Border,02/01/2013 12:00:00 AM,Trucks,437245,452345
US-Mexico Border,02/01/2013 12:00:00 AM,Trucks,408669,452345
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Full,315990,329299
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Full,283766,329299
US-Mexico Border,02/01/2013 12:00:00 AM,Bus Passengers,188305,277087
US-Mexico Border,02/01/2013 12:00:00 AM,Truck Containers Empty,123374,114364
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Full,118728,68283
US-Canada Border,02/01/2013 12:00:00 AM,Bus Passengers,116814,277087
US-Canada Border,02/01/2013 12:00:00 AM,Truck Containers Empty,110879,114364
US-Canada Border,02/01/2013 12:00:00 AM,Rail Containers Empty,54584,37429
